invoice_no,row_no,invoice_date,retailer_code,sku,units,selling_price,discount_percent
AO-20260101-001,1,01/01/2026,R-12,SKU-A3,4,7.50,0
AO-20260101-001,2,01/01/2026,R-11,SKU-A3,13,5.00,0
AO-20260101-002,1,01/01/2026,R-13,SKU-A3,8,1.25,5
AO-20260101-002,2,01/01/2026,R-12,SKU-A3,4,7.50,0
AO-20260101-002,3,01/01/2026,R-11,SKU-A3,14,12.00,5
AO-20260101-003,1,01/01/2026,R-12,SKU-A1,11,1.25,10
AO-20260101-003,2,01/01/2026,R-13,SKU-A1,14,3.75,10
AO-20260101-003,3,01/01/2026,R-13,SKU-A2,14,2.50,15
AO-20260101-004,1,01/01/2026,R-12,SKU-A3,18,5.00,10
AO-20260101-004,2,01/01/2026,R-11,SKU-A1,19,3.75,5
AO-20260101-004,3,01/01/2026,R-12,SKU-A3,9,5.00,0
AO-20260102-001,1,02/01/2026,R-12,SKU-A2,13,3.75,0
AO-20260102-001,2,02/01/2026,R-12,SKU-A2,6,5.00,0
AO-20260102-001,3,02/01/2026,R-13,SKU-A2,11,3.75,15
AO-20260102-002,1,02/01/2026,R-11,SKU-A1,1,7.50,0
AO-20260102-002,2,02/01/2026,R-11,SKU-A3,14,5.00,15
AO-20260102-002,3,02/01/2026,R-12,SKU-A1,16,12.00,10
AO-20260102-003,1,02/01/2026,R-13,SKU-A1,10,2.50,10
AO-20260102-004,1,02/01/2026,R-13,SKU-A3,19,3.75,10
AO-20260102-004,2,02/01/2026,R-12,SKU-A2,12,5.00,15
AO-20260103-001,1,03/01/2026,R-12,SKU-A1,15,3.75,5
AO-20260103-001,2,03/01/2026,R-12,SKU-A1,4,12.00,0
AO-20260103-001,3,03/01/2026,R-11,SKU-A1,18,12.00,0
AO-20260103-002,1,03/01/2026,R-13,SKU-A3,16,3.75,15
AO-20260103-002,2,03/01/2026,R-12,SKU-A1,10,1.25,0
AO-20260103-002,3,03/01/2026,R-11,SKU-A3,12,2.50,5
AO-20260103-003,1,03/01/2026,R-11,SKU-A3,5,3.75,0
AO-20260103-003,2,03/01/2026,R-13,SKU-A2,10,12.00,0
AO-20260103-003,3,03/01/2026,R-12,SKU-A2,4,1.25,15
AO-20260103-004,1,03/01/2026,R-11,SKU-A2,15,3.75,0
AO-20260103-004,2,03/01/2026,R-12,SKU-A2,16,1.25,0
AO-20260104-001,1,04/01/2026,R-11,SKU-A1,19,12.00,0
AO-20260104-002,1,04/01/2026,R-11,SKU-A3,10,1.25,0
AO-20260104-002,2,04/01/2026,R-13,SKU-A1,14,7.50,15
AO-20260104-002,3,04/01/2026,R-12,SKU-A2,17,5.00,10
AO-20260104-003,1,04/01/2026,R-13,SKU-A1,14,3.75,15
AO-20260104-003,2,04/01/2026,R-11,SKU-A3,20,12.00,0
AO-20260104-003,3,04/01/2026,R-11,SKU-A1,7,3.75,0
AO-20260104-004,1,04/01/2026,R-11,SKU-A2,18,1.25,0
AO-20260105-001,1,05/01/2026,R-11,SKU-A1,20,5.00,5
AO-20260105-001,2,05/01/2026,R-13,SKU-A2,10,12.00,5
AO-20260105-002,1,05/01/2026,R-13,SKU-A1,8,3.75,15
AO-20260105-003,1,05/01/2026,R-13,SKU-A1,4,7.50,0
AO-20260105-003,2,05/01/2026,R-11,SKU-A1,9,2.50,0
AO-20260105-004,1,05/01/2026,R-12,SKU-A2,20,12.00,15
AO-20260105-004,2,05/01/2026,R-13,SKU-A2,4,5.00,5
AO-20260106-001,1,06/01/2026,R-12,SKU-A1,17,7.50,10
AO-20260106-001,2,06/01/2026,R-13,SKU-A2,20,1.25,10
AO-20260106-002,1,06/01/2026,R-11,SKU-A3,9,1.25,0
