order_id,line_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct
PO-20260101-001,1,2026-01-01,C002,P002,4,1.25,0.05
PO-20260101-001,2,2026-01-01,C001,P004,5,12.00,0.00
PO-20260101-001,3,2026-01-01,C002,P002,2,1.25,0.00
PO-20260101-002,1,2026-01-01,C002,P004,20,1.25,0.15
PO-20260101-002,2,2026-01-01,C003,P001,8,5.00,0.15
PO-20260101-002,3,2026-01-01,C003,P003,6,12.00,0.10
PO-20260101-003,1,2026-01-01,C001,P004,7,3.75,0.00
PO-20260101-004,1,2026-01-01,C003,P001,12,3.75,0.15
PO-20260102-001,1,2026-01-02,C004,P001,15,7.50,0.00
PO-20260102-001,2,2026-01-02,C003,P002,18,3.75,0.15
PO-20260102-001,3,2026-01-02,C003,P001,3,1.25,0.00
PO-20260102-002,1,2026-01-02,C004,P003,4,5.00,0.05
PO-20260102-003,1,2026-01-02,C003,P001,12,3.75,0.00
PO-20260102-004,1,2026-01-02,C002,P004,6,7.50,0.00
PO-20260102-004,2,2026-01-02,C002,P003,13,3.75,0.15
PO-20260102-004,3,2026-01-02,C003,P004,2,2.50,0.00
PO-20260103-001,1,2026-01-03,C003,P002,3,2.50,0.15
PO-20260103-001,2,2026-01-03,C002,P003,16,5.00,0.10
PO-20260103-002,1,2026-01-03,C003,P004,8,12.00,0.15
PO-20260103-003,1,2026-01-03,C002,P004,13,3.75,0.00
PO-20260103-003,2,2026-01-03,C002,P002,3,1.25,0.00
PO-20260103-003,3,2026-01-03,C004,P004,14,7.50,0.00
PO-20260103-004,1,2026-01-03,C001,P001,15,7.50,0.05
PO-20260103-004,2,2026-01-03,C001,P003,18,3.75,0.05
PO-20260103-004,3,2026-01-03,C001,P003,14,2.50,0.10
PO-20260104-001,1,2026-01-04,C003,P002,6,7.50,0.00
PO-20260104-001,2,2026-01-04,C001,P003,5,3.75,0.00
PO-20260104-001,3,2026-01-04,C003,P003,16,1.25,0.00
PO-20260104-002,1,2026-01-04,C001,P001,2,2.50,0.15
PO-20260104-003,1,2026-01-04,C002,P002,16,1.25,0.15
PO-20260104-003,2,2026-01-04,C003,P004,16,7.50,0.00
PO-20260104-003,3,2026-01-04,C003,P004,7,7.50,0.00
PO-20260104-004,1,2026-01-04,C004,P001,12,5.00,0.15
PO-20260104-004,2,2026-01-04,C003,P001,8,2.50,0.00
PO-20260104-004,3,2026-01-04,C002,P001,19,7.50,0.00
PO-20260105-001,1,2026-01-05,C001,P003,2,2.50,0.00
PO-20260105-002,1,2026-01-05,C004,P002,17,2.50,0.05
PO-20260105-003,1,2026-01-05,C004,P002,5,12.00,0.15
PO-20260105-003,2,2026-01-05,C001,P001,16,5.00,0.00
PO-20260105-003,3,2026-01-05,C004,P004,14,3.75,0.10
PO-20260105-004,1,2026-01-05,C001,P004,2,12.00,0.00
PO-20260105-004,2,2026-01-05,C002,P002,11,1.25,0.00
PO-20260105-004,3,2026-01-05,C004,P002,18,5.00,0.00
PO-20260106-001,1,2026-01-06,C004,P001,15,2.50,0.00
PO-20260106-001,2,2026-01-06,C001,P001,2,12.00,0.15
PO-20260106-002,1,2026-01-06,C004,P002,6,5.00,0.10
PO-20260106-003,1,2026-01-06,C001,P004,2,2.50,0.10
PO-20260106-003,2,2026-01-06,C004,P004,9,5.00,0.05
PO-20260106-004,1,2026-01-06,C001,P001,7,3.75,0.00
PO-20260107-001,1,2026-01-07,C004,P002,11,1.25,0.00
PO-20260107-001,2,2026-01-07,C002,P001,2,7.50,0.00
PO-20260107-001,3,2026-01-07,C004,P001,20,1.25,0.00
PO-20260107-002,1,2026-01-07,C001,P001,8,7.50,0.15
PO-20260107-002,2,2026-01-07,C003,P003,14,12.00,0.15
PO-20260107-002,3,2026-01-07,C002,P003,7,12.00,0.05
PO-20260107-003,1,2026-01-07,C004,P003,5,12.00,0.05
PO-20260107-003,2,2026-01-07,C001,P001,3,1.25,0.10
PO-20260107-004,1,2026-01-07,C002,P003,7,7.50,0.05
PO-20260107-004,2,2026-01-07,C003,P002,3,2.50,0.05
PO-20260107-004,3,2026-01-07,C001,P003,15,7.50,0.05
PO-20260108-001,1,2026-01-08,C001,P001,4,2.50,0.05
PO-20260108-001,2,2026-01-08,C003,P002,18,2.50,0.05
PO-20260108-001,3,2026-01-08,C004,P003,11,2.50,0.05
PO-20260108-002,1,2026-01-08,C003,P001,3,12.00,0.10
PO-20260108-003,1,2026-01-08,C002,P004,11,2.50,0.05
PO-20260108-004,1,2026-01-08,C001,P001,14,7.50,0.00
PO-20260108-004,2,2026-01-08,C003,P002,5,7.50,0.00
PO-20260108-004,3,2026-01-08,C003,P003,14,2.50,0.00
PO-20260109-001,1,2026-01-09,C001,P003,12,2.50,0.00
PO-20260109-002,1,2026-01-09,C002,P002,14,7.50,0.00
PO-20260109-002,2,2026-01-09,C002,P003,6,5.00,0.00
PO-20260109-002,3,2026-01-09,C003,P002,14,12.00,0.00
PO-20260109-003,1,2026-01-09,C004,P002,4,5.00,0.00
PO-20260109-003,2,2026-01-09,C003,P002,7,5.00,0.05
PO-20260109-003,3,2026-01-09,C004,P003,8,1.25,0.00
PO-20260109-004,1,2026-01-09,C004,P003,3,3.75,0.05
PO-20260109-004,2,2026-01-09,C002,P003,1,1.25,0.05
PO-20260110-001,1,2026-01-10,C003,P003,4,7.50,0.10
PO-20260110-002,1,2026-01-10,C004,P002,20,7.50,0.00
PO-20260110-002,2,2026-01-10,C001,P002,9,1.25,0.10
PO-20260110-003,1,2026-01-10,C003,P001,14,1.25,0.05
PO-20260110-003,2,2026-01-10,C004,P003,10,7.50,0.05
PO-20260110-004,1,2026-01-10,C002,P004,10,7.50,0.00
PO-20260110-004,2,2026-01-10,C003,P004,13,12.00,0.00
PO-20260111-001,1,2026-01-11,C002,P004,1,3.75,0.05
PO-20260111-001,2,2026-01-11,C004,P004,19,7.50,0.05
PO-20260111-001,3,2026-01-11,C004,P002,15,12.00,0.00
PO-20260111-002,1,2026-01-11,C003,P001,3,3.75,0.15
PO-20260111-002,2,2026-01-11,C002,P002,8,12.00,0.05
PO-20260111-002,3,2026-01-11,C002,P004,5,1.25,0.00
PO-20260111-003,1,2026-01-11,C002,P004,3,5.00,0.10
PO-20260111-003,2,2026-01-11,C002,P001,16,5.00,0.00
PO-20260111-003,3,2026-01-11,C002,P004,4,5.00,0.00
PO-20260111-004,1,2026-01-11,C004,P002,18,2.50,0.00
PO-20260112-001,1,2026-01-12,C003,P004,17,7.50,0.15
PO-20260112-001,2,2026-01-12,C004,P004,20,12.00,0.15
PO-20260112-002,1,2026-01-12,C002,P003,16,5.00,0.05
